brain,lung,liver,bone,kidney,DepMap_ID
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000007
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000013
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000019
NonMetastasis,Metastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000028
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000048
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000091
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000097
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000117
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000123
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000132
Metastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000147
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000192
Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000212
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000223
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,Metastasis,ACH-000237
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000252
NonMetastasis,Metastasis,Metastasis,Metastasis,NonMetastasis,ACH-000255
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000276
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000277
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000278
Metastasis,Metastasis,NonMetastasis,Metastasis,Metastasis,ACH-000280
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000288
NonMetastasis,NonMetastasis,Metastasis,Metastasis,NonMetastasis,ACH-000296
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000302
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000308
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000324
NonMetastasis,Metastasis,Metastasis,Metastasis,NonMetastasis,ACH-000344
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000351
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000352
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000356
Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000374
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000397
NonMetastasis,Metastasis,NonMetastasis,Metastasis,Metastasis,ACH-000403
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000407
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000409
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000421
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000427
Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000467
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000524
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000527
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000532
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000542
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000552
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000565
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000608
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000624
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000643
