brain,lung,liver,bone,kidney,DepMap_ID
NonMetastasis,Metastasis,NonMetastasis,Metastasis,NonMetastasis,ACH-000012
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000015
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000021
Metastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000030
Metastasis,Metastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000035
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000062
Metastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,ACH-000066
NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,Metastasis,ACH-000086
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000092
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000153
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000161
NonMetastasis,NonMetastasis,Metastasis,Metastasis,NonMetastasis,ACH-000176
NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000186
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000261
NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000264
NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,Metastasis,ACH-000292
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000311
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000331
NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,ACH-000335
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000343
NonMetastasis,Metastasis,Metastasis,Metastasis,NonMetastasis,ACH-000367
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000390
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000395
Metastasis,Metastasis,NonMetastasis,Metastasis,Metastasis,ACH-000414
NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,ACH-000416
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000434
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000444
NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis,ACH-000447
NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,Metastasis,ACH-000454
Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,ACH-000463
Metastasis,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,ACH-000481
NonMetastasis,NonMetastasis,Metastasis,Metastasis,NonMetastasis,ACH-000482
